         127.38100          42.25760
         129.59000          44.62000
         336.00000          -0.16689          -0.30989
         337.00000          -0.05838          -0.50429
         338.00000           0.20092          -0.39279
         339.00000           0.45622          -0.12977
         340.00000           0.15876          -0.01831
         341.00000           0.04162           0.27207
         342.00000           0.14330           0.38591
         343.00000          -0.11918           0.08625
         344.00000          -0.24022          -0.03546
         345.00000          -0.18811          -0.07633
         346.00000          -0.39576          -0.05443
         347.00000          -0.30936           0.06221
         348.00000          -0.00140           0.15185
         349.00000          -0.04087           0.11362
         350.00000           0.11492          -0.06792
         351.00000           0.23147           0.05007
         352.00000           0.10105           0.13894
         353.00000           0.33428          -0.23426
         354.00000           0.32286          -0.28041
         355.00000          -0.04987          -0.05480
         356.00000          -0.21126          -0.10547
         357.00000          -0.46213           0.10102
         358.00000          -0.51357           0.39267
         359.00000          -0.04664           0.19960
         360.00000           0.42832          -0.11919
         361.00000           0.50364          -0.14981
         362.00000           0.07697          -0.07340
         363.00000          -0.07125          -0.01503
         364.00000           0.16060           0.08742
         365.00000          -0.17651           0.18348
         366.00000          -0.26346           0.13154
         367.00000           0.15663          -0.04789
         368.00000           0.07248          -0.02576
         369.00000           0.03620           0.01274
         370.00000           0.04029          -0.07610
         371.00000          -0.00471          -0.09687
         372.00000           0.33444           0.02010
         373.00000           0.19387          -0.04189
         374.00000          -0.19954          -0.14276
         375.00000          -0.00757           0.30519
         376.00000          -0.03412           0.25549
         377.00000          -0.36637          -0.22839
         378.00000          -0.26190           0.05904
         379.00000          -0.09042           0.07277
         380.00000          -0.07677          -0.35483
         381.00000           0.05257          -0.09139
         382.00000           0.22719           0.24518
         383.00000           0.10028           0.11647
         384.00000          -0.07809           0.02352
         385.00000           0.07296           0.12278
         386.00000          -0.00140           0.21183
         387.00000          -0.10228          -0.00999
         388.00000           0.09637          -0.16188
         389.00000           0.20111          -0.16772
         390.00000           0.40554          -0.26351
         391.00000           0.38272          -0.19593
         392.00000          -0.15725          -0.27133
         393.00000          -0.44465          -0.24523
         394.00000          -0.20038          -0.08302
         395.00000          -0.04327          -0.14849
         396.00000          -0.29548           0.08349
         397.00000          -0.19096           0.34708
         398.00000           0.16903           0.28530
         399.00000           0.13693           0.17236
         400.00000           0.12390          -0.18123
         401.00000           0.13467          -0.29916
         402.00000           0.07100           0.08531
         403.00000          -0.07496           0.09168
         404.00000          -0.28894          -0.00306
         405.00000          -0.25532           0.47371
         406.00000           0.01172           0.62671
         407.00000           0.13623          -0.05183
         408.00000          -0.05951          -0.26434
         409.00000           0.03950          -0.07122
         410.00000           0.14600          -0.37529
         411.00000          -0.21728          -0.42897
         412.00000          -0.11695          -0.10566
         413.00000           0.23153           0.14312
         414.00000           0.16613           0.25911
         415.00000           0.05541           0.34407
         416.00000           0.05358           0.41717
         417.00000           0.02361           0.18065
         418.00000          -0.08477          -0.09336
         419.00000          -0.06802          -0.15482
         420.00000           0.04378          -0.33296
         421.00000           0.06725          -0.41363
         422.00000           0.06041          -0.14970
         423.00000           0.20271          -0.05486
         424.00000           0.09109           0.00980
         425.00000          -0.24881           0.33959
         426.00000           0.08977           0.45561
         427.00000           0.01514           0.29934
         428.00000          -0.57532           0.06204
         429.00000          -0.02267          -0.35070
         430.00000           0.36165          -0.50842
         431.00000          -0.11796          -0.21895
         432.00000          -0.08897          -0.15451
         433.00000           0.11324          -0.05029
         434.00000           0.03033           0.42391
         435.00000           0.09432           0.51385
         436.00000           0.22763           0.10543
         437.00000           0.10776          -0.14122
         438.00000          -0.19812          -0.12416
         439.00000          -0.24782          -0.26912
         440.00000          -0.18261          -0.41281
         441.00000          -0.12027          -0.22879
         442.00000           0.10720          -0.01246
         443.00000           0.00368           0.09392
         444.00000          -0.05428           0.20002
         445.00000           0.20664           0.19326
         446.00000           0.13899           0.14669
         447.00000           0.17685           0.21664
         448.00000           0.21969           0.05039
         449.00000          -0.04052          -0.15939
         450.00000           0.05959          -0.03726
         451.00000           0.06924          -0.13719
         452.00000          -0.17759          -0.10150
         453.00000           0.07468           0.15776
         454.00000           0.17485           0.00165
         455.00000          -0.20653           0.04331
         456.00000          -0.13452           0.25010
         457.00000          -0.01043           0.14431
         458.00000          -0.13312          -0.07682
         459.00000          -0.15029          -0.19924
         460.00000          -0.24622          -0.11062
         461.00000          -0.17064          -0.12523
         462.00000          -0.13968          -0.26138
         463.00000          -0.10450          -0.05881
         464.00000          -0.00337           0.25079
         465.00000          -0.01538           0.22843
         466.00000           0.13006           0.20139
         467.00000           0.02896           0.15546
         468.00000           0.12686           0.00048
         469.00000           0.47996          -0.08704
         470.00000           0.30481          -0.20844
         471.00000          -0.00885          -0.23386
         472.00000          -0.21180          -0.26839
         473.00000          -0.23972          -0.10624
         474.00000          -0.12056           0.28566
         475.00000          -0.21113           0.23232
         476.00000          -0.23520           0.20055
         477.00000           0.19072           0.28853
         478.00000           0.39321          -0.25548
         479.00000           0.18719          -0.38579
         480.00000           0.17289           0.20027
         481.00000          -0.00118           0.06396
         482.00000          -0.20112          -0.21067
         483.00000           0.07257           0.12045
         484.00000           0.16029           0.18744
         485.00000          -0.02172          -0.04458
         486.00000           0.16690          -0.14368
         487.00000           0.21598          -0.13578
         488.00000          -0.00231           0.03029
         489.00000           0.01714           0.05728
         490.00000          -0.14530          -0.04156
         491.00000          -0.12608           0.00764
         492.00000           0.15028          -0.17878
         493.00000          -0.10598          -0.20617
         494.00000          -0.26168           0.11351
         495.00000          -0.07145           0.19220
         496.00000          -0.16142           0.14661
         497.00000          -0.19158           0.20141
         498.00000           0.11243           0.06629
         499.00000           0.06758          -0.37292
         500.00000          -0.35418          -0.27895
         501.00000          -0.18941           0.07414
         502.00000           0.14755          -0.15870
         503.00000          -0.10177           0.00674
         504.00000          -0.10636           0.50645
         505.00000           0.12255           0.34089
         506.00000           0.16050           0.22273
         507.00000           0.38743           0.21148
         508.00000           0.15628          -0.18930
         509.00000          -0.22369          -0.36076
         510.00000           0.00978          -0.22389
         511.00000           0.03417          -0.19653
         512.00000           0.04559          -0.21510
         513.00000           0.10282           0.03986
         514.00000          -0.07664           0.12506
         515.00000           0.01342          -0.09353
         516.00000          -0.08782           0.11545
         517.00000          -0.29504           0.14251
         518.00000          -0.12013          -0.08811
         519.00000          -0.02836          -0.07451
         520.00000           0.14224          -0.17086
         521.00000           0.37859           0.06454
         522.00000           0.24584           0.29966
         523.00000           0.18620           0.16499
         524.00000           0.15755           0.21625
         525.00000          -0.15438           0.24649
         526.00000          -0.14074           0.13120
         527.00000           0.03039          -0.24028
         528.00000          -0.22351          -0.39137
         529.00000          -0.13080          -0.07599
         530.00000           0.20418          -0.28327
         531.00000          -0.00827          -0.33622
         532.00000          -0.17258           0.11586
         533.00000          -0.18105           0.20249
         534.00000          -0.19299           0.32038
         535.00000          -0.15036           0.10610
         536.00000          -0.18805          -0.25552
         537.00000          -0.12902          -0.09924
         538.00000           0.01272          -0.20575
         539.00000           0.36672          -0.33206
         540.00000           0.42831           0.00789
         541.00000           0.00460           0.38780
         542.00000           0.12078           0.39255
         543.00000           0.41978           0.24035
         544.00000           0.18192           0.09789
         545.00000          -0.14038          -0.12669
         546.00000          -0.16259          -0.09609
         547.00000           0.09826          -0.07002
         548.00000           0.12256          -0.20934
         549.00000          -0.03714          -0.13832
         550.00000           0.04093           0.09229
         551.00000          -0.18079           0.12483
         552.00000          -0.44221           0.16486
         553.00000          -0.21321           0.20711
         554.00000          -0.09308          -0.17658
         555.00000          -0.30002          -0.17168
         556.00000          -0.22829           0.06736
         557.00000           0.10852          -0.17548
         558.00000           0.02974          -0.08432
         559.00000          -0.02228           0.16827
         560.00000           0.15050           0.09435
         561.00000           0.14893           0.07355
         562.00000           0.10986           0.09651
         563.00000          -0.07486           0.00298
         564.00000          -0.10282          -0.06597
         565.00000           0.02875          -0.11763
         566.00000          -0.01055          -0.21464
         567.00000           0.00526          -0.02715
         568.00000           0.16396           0.15025
         569.00000           0.41224           0.00731
         570.00000           0.37487          -0.12891
         571.00000           0.02623          -0.16046
         572.00000          -0.09271           0.04537
         573.00000           0.00533           0.14978
         574.00000          -0.03508          -0.03857
         575.00000          -0.10497           0.04917
         576.00000           0.07822           0.07629
         577.00000           0.15622          -0.11751
         578.00000          -0.02435          -0.01466
         579.00000          -0.01075           0.03434
         580.00000          -0.16666           0.01995
         581.00000          -0.29404           0.17058
         582.00000           0.04887           0.25684
         583.00000          -0.03211           0.23615
         584.00000          -0.04743          -0.03597
         585.00000           0.17729          -0.19182
         586.00000          -0.13775          -0.02478
         587.00000          -0.05509          -0.20911
         588.00000           0.13288          -0.41381
         589.00000          -0.10806          -0.11573
         590.00000           0.07018           0.06035
         591.00000           0.02910          -0.14244
         592.00000          -0.30223          -0.12561
         593.00000          -0.20394           0.24405
         594.00000          -0.20699           0.14690
         595.00000          -0.15114          -0.16968
         596.00000           0.04685           0.10760
         597.00000           0.13707           0.19127
         598.00000           0.27107           0.05942
         599.00000           0.06673           0.29127
         600.00000          -0.00460           0.28985
         601.00000           0.17106           0.14645
         602.00000          -0.14570           0.02236
         603.00000          -0.23722          -0.15641
         604.00000           0.14229          -0.22481
         605.00000           0.19280          -0.14190
         606.00000           0.09339           0.02154
         607.00000           0.09635          -0.14977
         608.00000          -0.05062          -0.17543
         609.00000          -0.33163          -0.07511
         610.00000          -0.35381          -0.11047
         611.00000           0.07290           0.07169
         612.00000           0.25218          -0.09330
         613.00000           0.11471          -0.15226
         614.00000           0.06904           0.17333
         615.00000          -0.08563           0.12057
         616.00000           0.09462          -0.05577
         617.00000           0.41112          -0.05352
         618.00000           0.17753           0.05819
         619.00000           0.04144           0.07010
         620.00000           0.26794          -0.03097
         621.00000           0.20824           0.07194
         622.00000           0.03716           0.21678
         623.00000          -0.00083           0.12876
         624.00000          -0.16356           0.05775
         625.00000          -0.12908           0.08297
         626.00000          -0.03915          -0.06118
         627.00000          -0.14225          -0.18464
         628.00000          -0.19004          -0.10144
         629.00000          -0.37476           0.08506
         630.00000          -0.32565           0.16632
         631.00000           0.00787           0.00050
         632.00000          -0.06467           0.01827
         633.00000          -0.02936           0.06982
         634.00000           0.21291          -0.10550
         635.00000          -0.02064          -0.19619
         636.00000          -0.14343          -0.22821
         637.00000           0.13240           0.07967
         638.00000           0.06957           0.25083
         639.00000          -0.03175           0.00597
         640.00000           0.06657           0.11307
         641.00000          -0.11504          -0.05769
         642.00000          -0.26528          -0.34923
         643.00000          -0.31009          -0.14455
         644.00000          -0.30613          -0.11012
         645.00000          -0.07777           0.05132
         646.00000           0.18624           0.21792
         647.00000           0.35099           0.03822
         648.00000           0.40472           0.12911
         649.00000           0.36071           0.23229
         650.00000           0.15380           0.09277
         651.00000           0.01062           0.00363
         652.00000           0.01445          -0.14837
         653.00000           0.08727          -0.37740
         654.00000           0.17476          -0.48686
         655.00000          -0.03405          -0.28524
         656.00000          -0.07649           0.15747
         657.00000           0.13629           0.35957
         658.00000          -0.01722           0.04870
         659.00000          -0.20137          -0.10943
         660.00000          -0.14400           0.30547
         661.00000          -0.14037           0.36716
         662.00000          -0.11919           0.02304
         663.00000           0.04933          -0.03135
         664.00000           0.05979          -0.01159
         665.00000          -0.08043          -0.06277
         666.00000          -0.04585          -0.02429
         667.00000           0.04877           0.02312
         668.00000          -0.04913          -0.04017
         669.00000          -0.07876           0.04175
         670.00000           0.15586           0.01502
         671.00000           0.12031          -0.19603
         672.00000          -0.01601          -0.08550
         673.00000           0.06027          -0.01834
         674.00000          -0.09539           0.06283
         675.00000          -0.14209           0.16200
         676.00000           0.02557          -0.03727
         677.00000          -0.01176          -0.09090
         678.00000          -0.16026           0.04614
         679.00000          -0.19953           0.02164
         680.00000           0.11576          -0.14682
         681.00000           0.25676          -0.01510
         682.00000           0.17651           0.30060
         683.00000           0.21582           0.17772
         684.00000          -0.23951          -0.10806
         685.00000          -0.47213           0.08503
         686.00000           0.01828           0.12572
         687.00000           0.33095          -0.09155
         688.00000           0.30506           0.11843
         689.00000           0.11202           0.01660
         690.00000           0.04920          -0.21199
         691.00000           0.05527          -0.18806
         692.00000          -0.07376          -0.27101
         693.00000          -0.16110           0.03989
         694.00000          -0.21103           0.11128
         695.00000          -0.12208          -0.02011
         696.00000          -0.06624           0.29302
         697.00000          -0.09038           0.17493
         698.00000           0.06143          -0.07937
         699.00000           0.07651           0.00441
         700.00000           0.03914          -0.08162
         701.00000           0.07359          -0.27653
         702.00000          -0.09775          -0.20690
         703.00000          -0.04922          -0.01521
         704.00000           0.00093          -0.09170
         705.00000          -0.12082          -0.09507
         706.00000           0.07366           0.08434
         707.00000           0.01890           0.02522
         708.00000          -0.23891          -0.18790
         709.00000          -0.14506          -0.25337
         710.00000           0.10503           0.00150
         711.00000           0.13477           0.39103
         712.00000          -0.15264           0.33524
         713.00000          -0.09715          -0.03392
         714.00000           0.32204          -0.02749
         715.00000           0.23377           0.05899
         716.00000          -0.05651          -0.03833
         717.00000           0.14627          -0.10783
         718.00000           0.14597          -0.05372
         719.00000          -0.17908           0.11967
         720.00000          -0.06025           0.12450
         721.00000          -0.07031           0.22530
         722.00000          -0.24357           0.27129
         723.00000           0.21627          -0.09552
         724.00000           0.27790          -0.24727
         725.00000          -0.06088           0.02410
         726.00000           0.15303           0.11167
         727.00000           0.09629          -0.08838
         728.00000           0.02829           0.00113
         729.00000           0.11310           0.02878
         730.00000          -0.18502          -0.14264
         731.00000          -0.10225           0.06910
         732.00000          -0.03495           0.17572
         733.00000          -0.30215          -0.05918
         734.00000          -0.07437          -0.14508
         735.00000           0.14218          -0.06554
         736.00000          -0.03607          -0.05610
         737.00000           0.01974          -0.08248
         738.00000           0.18851          -0.10179
         739.00000          -0.01955          -0.15508
         740.00000          -0.07568          -0.03849
         741.00000           0.24790           0.17645
         742.00000           0.14695           0.19008
         743.00000          -0.03996           0.20666
         744.00000           0.07291           0.10046
         745.00000           0.12236          -0.17397
         746.00000           0.02534          -0.04654
         747.00000          -0.39584          -0.00051
         748.00000          -0.43213          -0.12850
         749.00000          -0.02332           0.18273
         750.00000          -0.00774           0.32387
         751.00000           0.06502          -0.11679
         752.00000           0.26075          -0.30270
         753.00000           0.00219           0.01566
         754.00000          -0.28781           0.03634
         755.00000          -0.31441          -0.06543
         756.00000          -0.27233           0.00177
         757.00000           0.02779          -0.08230
